Field	Type	Null	Key	Default	Extra
id	int(11)	NO	PRI	0	
minstatus	smallint(5)	NO	MUL	0	
Name	varchar(64)	NO	MUL		
aagi	int(11)	NO		0	
ac	int(11)	NO	MUL	0	
accuracy	int(11)	NO		0	
acha	int(11)	NO		0	
adex	int(11)	NO		0	
aint	int(11)	NO		0	
artifactflag	tinyint(3) unsigned	NO		0	
asta	int(11)	NO		0	
astr	int(11)	NO		0	
attack	int(11)	NO		0	
augrestrict	int(11)	NO		0	
augslot1type	tinyint(3)	NO	MUL	0	
augslot1visible	tinyint(3)	NO		0	
augslot2type	tinyint(3)	NO		0	
augslot2visible	tinyint(3)	NO		0	
augslot3type	tinyint(3)	NO		0	
augslot3visible	tinyint(3)	NO		0	
augslot4type	tinyint(3)	NO		0	
augslot4visible	tinyint(3)	NO		0	
augslot5type	tinyint(3)	NO		0	
augslot5visible	tinyint(3)	NO		0	
augslot6type	tinyint(3)	NO		0	
augslot6visible	tinyint(3)	NO		0	
augtype	int(11)	NO		0	
avoidance	int(11)	NO		0	
awis	int(11)	NO		0	
bagsize	int(11)	NO		0	
bagslots	int(11)	NO		0	
bagtype	int(11)	NO		0	
bagwr	int(11)	NO		0	
banedmgamt	int(11)	NO		0	
banedmgraceamt	int(11)	NO		0	
banedmgbody	int(11)	NO		0	
banedmgrace	int(11)	NO		0	
bardtype	int(11)	NO		0	
bardvalue	int(11)	NO		0	
book	int(11)	NO		0	
casttime	int(11)	NO		0	
casttime_	int(11)	NO		0	
charmfile	varchar(32)	NO			
charmfileid	varchar(32)	NO			
classes	int(11)	NO		0	
color	int(10) unsigned	NO		0	
combateffects	varchar(10)	NO			
extradmgskill	int(11)	NO		0	
extradmgamt	int(11)	NO		0	
price	int(11)	NO		0	
cr	int(11)	NO		0	
damage	int(11)	NO		0	
damageshield	int(11)	NO		0	
deity	int(11)	NO		0	
delay	int(11)	NO		0	
augdistiller	int(11) unsigned	NO		0	
dotshielding	int(11)	NO		0	
dr	int(11)	NO		0	
clicktype	int(11)	NO		0	
clicklevel2	int(11)	NO		0	
elemdmgtype	int(11)	NO		0	
elemdmgamt	int(11)	NO		0	
endur	int(11)	NO		0	
factionamt1	int(11)	NO		0	
factionamt2	int(11)	NO		0	
factionamt3	int(11)	NO		0	
factionamt4	int(11)	NO		0	
factionmod1	int(11)	NO		0	
factionmod2	int(11)	NO		0	
factionmod3	int(11)	NO		0	
factionmod4	int(11)	NO		0	
filename	varchar(32)	NO			
focuseffect	int(11)	NO		0	
fr	int(11)	NO		0	
fvnodrop	int(11)	NO		0	
haste	int(11)	NO		0	
clicklevel	int(11)	NO		0	
hp	int(11)	NO	MUL	0	
regen	int(11)	NO		0	
icon	int(11)	NO		0	
idfile	varchar(30)	NO			
itemclass	int(11)	NO	MUL	0	
itemtype	int(11)	NO	MUL	0	
ldonprice	int(11)	NO		0	
ldontheme	int(11)	NO		0	
ldonsold	int(11)	NO		0	
light	int(11)	NO		0	
lore	varchar(80)	NO	MUL		
loregroup	int(11)	NO		0	
magic	int(11)	NO		0	
mana	int(11)	NO	MUL	0	
manaregen	int(11)	NO		0	
enduranceregen	int(11)	NO		0	
material	int(11)	NO		0	
herosforgemodel	int(11)	NO		0	
maxcharges	int(11)	NO		0	
mr	int(11)	NO		0	
nodrop	int(11)	NO		0	
norent	int(11)	NO		0	
pendingloreflag	tinyint(3) unsigned	NO		0	
pr	int(11)	NO		0	
procrate	int(11)	NO		0	
races	int(11)	NO	MUL	0	
range	int(11)	NO		0	
reclevel	int(11)	NO	MUL	0	
recskill	int(11)	NO		0	
reqlevel	int(11)	NO		0	
sellrate	float	NO		0	
shielding	int(11)	NO		0	
size	int(11)	NO		0	
skillmodtype	int(11)	NO		0	
skillmodvalue	int(11)	NO		0	
slots	int(11)	NO	MUL	0	
clickeffect	int(11)	NO		0	
spellshield	int(11)	NO		0	
strikethrough	int(11)	NO		0	
stunresist	int(11)	NO		0	
summonedflag	tinyint(3) unsigned	NO		0	
tradeskills	int(11)	NO		0	
favor	int(11)	NO		0	
weight	int(11)	NO		0	
UNK012	int(11)	NO		0	
UNK013	int(11)	NO		0	
benefitflag	int(11)	NO		0	
UNK054	int(11)	NO		0	
UNK059	int(11)	NO		0	
booktype	int(11)	NO		0	
recastdelay	int(11)	NO		0	
recasttype	int(11)	NO		0	
guildfavor	int(11)	NO		0	
UNK123	int(11)	NO		0	
UNK124	int(11)	NO		0	
attuneable	int(11)	NO		0	
nopet	int(11)	NO		0	
updated	datetime	YES		NULL	
comment	varchar(255)	NO			
UNK127	int(11)	NO		0	
pointtype	int(11)	NO		0	
potionbelt	int(11)	NO		0	
potionbeltslots	int(11)	NO		0	
stacksize	int(11)	NO		0	
notransfer	int(11)	NO		0	
stackable	int(11)	NO		0	
UNK134	varchar(255)	NO			
UNK137	int(11)	NO		0	
proceffect	int(11)	NO		0	
proctype	int(11)	NO		0	
proclevel2	int(11)	NO		0	
proclevel	int(11)	NO		0	
UNK142	int(11)	NO		0	
worneffect	int(11)	NO		0	
worntype	int(11)	NO		0	
wornlevel2	int(11)	NO		0	
wornlevel	int(11)	NO		0	
UNK147	int(11)	NO		0	
focustype	int(11)	NO		0	
focuslevel2	int(11)	NO		0	
focuslevel	int(11)	NO		0	
UNK152	int(11)	NO		0	
scrolleffect	int(11)	NO		0	
scrolltype	int(11)	NO		0	
scrolllevel2	int(11)	NO		0	
scrolllevel	int(11)	NO		0	
UNK157	int(11)	NO		0	
serialized	datetime	YES		NULL	
verified	datetime	YES		NULL	
serialization	text	YES		NULL	
source	varchar(20)	NO			
UNK033	int(11)	NO		0	
lorefile	varchar(32)	NO			
