id	name
67671	Adventurer's Stone of Blessing
69425	Aged Razor Fang of Xygoz
101809	Alkaa's Choker of Blessings
29440	Ancient Prismatic Axe
29438	Ancient Prismatic Battlehammer
29433	Ancient Prismatic Bow
29437	Ancient Prismatic Brawl Stick
127137	Ancient Prismatic Brawl Stick Ornament Sketch
127121	Ancient Prismatic Brawl Stick Ornamentation
29436	Ancient Prismatic Claymore
29441	Ancient Prismatic Fist Wraps
29434	Ancient Prismatic Lance
29444	Ancient Prismatic Mace
29435	Ancient Prismatic Spear
29442	Ancient Prismatic Staff
29443	Ancient Prismatic Stiletto
29439	Ancient Prismatic Warsword
146641	Ashenrazor
89474	Aurora Shard of the Ancients
62649	Aurora, the Heartwood Blade
127958	Aurora, the Heartwood Blade Ornamentation
79660	Auroral Crest of the Silverwing
20677	Ball of Everliving Golem
146447	Ball of Everliving Golem
26991	Band of Prismatic Focus
102640	Bauble of Prismatic Flame
108949	Beguiler's Prismatic Robe Ornament
57405	Blessed Spiritstaff of the Heyokah
127961	Blessed Spiritstaff of the Heyokah Ornamentation
79896	Blessing of Agnarr
70999	Blessing of Anashti Sul
121308	Blessing of Might
80640	Blessing of Shifting Smoke
39264	Blessing of Solusek Ro
11661	Bone Razor
147393	Bone Razor
99169	Bound Tenets of the Blessing
62247	Bracelet of Rhythmic Blessings
39964	Breeches of Phenomenal Power
39844	Breeches of Prismatic Power
43941	Brell's Personal Blessing
51113	Chunk of Prismatic Metal
102615	Cloak of Shorn Dragonscales
39958	Cowl of Phenomenal Power
39838	Cowl of Prismatic Power
51460	Darkshorn Kyv Hood
111658	Dried Chips of Everliving Clay
11956	Ebon Razor
102768	Eldritch Ring of Prismatic Refraction
102769	Eldritch Ring of Prismatic Refraction
102770	Eldritch Ring of Prismatic Refraction
39917	Everliving Bramble Arms
39920	Everliving Bramble Boots
39916	Everliving Bramble Cap
39919	Everliving Bramble Gloves
39922	Everliving Bramble Leggings
39921	Everliving Bramble Tunic
39918	Everliving Bramble Wristcuff
46047	Fabled Ancient Prismatic Brawl Stick
46046	Fabled Ancient Prismatic Warsword
76248	Fabled Band of Prismatic Focus
