npc_id	loottable_id	lootdrop_id	multiplier	droplimit	mindrop	probability	drop_name
2148	10717	17585	1	1	1	100	10729_The_Fabled_Fippy_Darkpaw_Wear
5134	1917	3674	1	1	1	100	1919_The_Fabled_Grenix_Mucktail_Wear
12169	10712	17580	1	1	1	100	10724_The_Fabled_Chief_Goonda_Wear
13118	10701	17569	1	1	1	100	10713_The_Fabled_GrimFeather_Wear
13118	10701	23004	1	1	1	100	The_Fabled_GrimFeather_misc
16034	13521	22320	1	1	1	100	21213_Fabled_King_Xorbb_Misc
33157	10693	17561	1	1	1	100	10705_The_Fabled_Mooto_Wear
44105	77502	37412	1	1	1	100	87502_#The_Fabled_Drelzna_
44106	77503	37413	1	1	1	100	87503_#The_Fabled_Najena_
58057	10708	17576	1	1	1	100	10720_The_Fabled_Emperor_Crush_Wear
63096	10699	17567	1	1	1	100	10711_The_Fabled_Garanel_Rucksif_Wear
68246	13567	22999	1	1	1	100	26181_The_Fabled_Zarchoomi_
68249	13566	22439	1	1	1	100	26180_The_Fabled_Corflunk_
69135	10716	17584	1	1	1	100	10728_The_Fabled_Allizewsaur_Wear
89191	89985	89997	1	1	1	100	89985_#The_Fabled_Arch_Duke_Iatol_
89192	89986	89998	1	2	2	100	89986_#The_Fabled_Tolapumj_
103218	90001	90018	1	2	2	100	90001_#The_Fabled_Prince_Selrach_Di`zok_
